Image,ImageNumber,HighReferenceImage,NoiseType,Stage,Method,Sequence,Parameters,MSE,PSNR,MAE,StdContrast,GradientMean,GradientRatio,EdgeCorrelation,DarkPixelPercent,SaturatedPixelPercent,Comment
493_low.png,493,493_high.png,Gaussian noise,Noisy image,No filtering,,"",0.00288092430879716,25.404681518909,0.0373373878738354,0.0371900362587028,0.0177624709647431,5.9826152896663,0.0919907358670244,99.99625,0,"Εικόνα μετά την τεχνητή προσθήκη θορύβου."
493_low.png,493,493_high.png,Gaussian noise,Denoising,Mean filter,filter only,"3x3 average kernel",0.000731161188375971,31.3598686995681,0.0225863126387019,0.0202615322345596,0.00703677947178049,2.37007252771561,0.175139568219011,100,0,"Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 5.96 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Το mean filter εξομαλύνει τον θόρυβο αλλά συχνά θολώνει περισσότερο τις λεπτομέρειες."
493_low.png,493,493_high.png,Gaussian noise,Denoising,Gaussian filter,filter only,"sigma=1.0, filter size=5",0.000661046068261044,31.7976827350317,0.0217952271105354,0.0194512125248011,0.00620623646592555,2.09033558709424,0.193061713881578,100,0,"Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 6.39 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Το Gaussian filter είναι φυσική επιλογή για Gaussian θόρυβο."
493_low.png,493,493_high.png,Gaussian noise,Denoising,Median filter,filter only,"3x3 median",0.000596894527733107,32.2410240265667,0.0179134635502474,0.0258383564719437,0.00937812251516369,3.1586652138065,0.170875639481928,100,0,"Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 6.84 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Η καταλληλότητα εξαρτάται από το είδος του θορύβου και τη λεπτομέρεια της εικόνας."
493_low.png,493,493_high.png,Gaussian noise,Denoising,Wiener filter,filter only,"5x5 adaptive Wiener",0.000725299654167526,31.3948252961556,0.0226038212826892,0.020035830101692,0.00502671532708938,1.69305858584297,0.16984485396667,100,0,"Το φίλτρο μειώνει αισθητά τον θόρυβο, με κέρδος PSNR 5.99 dB. Οι ακμές παραμένουν έντονες, αλλά μπορεί να παραμένει και θόρυβος. Το Wiener filter προσαρμόζεται στην τοπική διακύμανση της εικόνας."
493_low.png,493,493_high.png,Gaussian noise,Final enhanced image,Gaussian filter,denoise -> enhance,"gamma 0.6 + contrast stretch",0.033033510525636,14.8104527066528,0.147005004168852,0.10532313303313,0.0358387890235859,1.23244290972442,0.134692886238559,8.88125,0,"Η σειρά πρώτα ενίσχυση και μετά αποθορυβοποίηση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Gaussian filter, το PSNR είναι 14.81 dB."
493_low.png,493,493_high.png,Gaussian noise,Final enhanced image,Gaussian filter,enhance -> denoise,"gamma 0.6 + contrast stretch",0.0307555318138639,15.1207675890752,0.145108676095782,0.076089829718842,0.0250144286781802,0.860209178522794,0.131598856161538,73.5283333333333,0,"Η σειρά πρώτα ενίσχυση και μετά αποθορυβοποίηση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Gaussian filter, το PSNR είναι 15.12 dB."
493_low.png,493,493_high.png,Gaussian noise,Final enhanced image,Median filter,denoise -> enhance,"gamma 0.6 + contrast stretch",0.0336974343668778,14.7240316389792,0.142906952887875,0.163655741440709,0.0650192557707386,2.2359159713089,0.129059465744689,53.77375,0,"Η σειρά πρώτα αποθορυβοποίηση και μετά ενίσχυση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Median filter, το PSNR είναι 14.72 dB."
493_low.png,493,493_high.png,Gaussian noise,Final enhanced image,Median filter,enhance -> denoise,"gamma 0.6 + contrast stretch",0.0375987993662693,14.2482602307578,0.155353445209915,0.119543803775625,0.0474938983812573,1.63324486987078,0.129059465744689,71.4429166666667,0,"Η σειρά πρώτα αποθορυβοποίηση και μετά ενίσχυση δίνει καλύτερη ποσοτική προσέγγιση στην καθαρή βελτιωμένη εικόνα. Για Gaussian noise με Median filter, το PSNR είναι 14.25 dB."
493_low.png,493,493_high.png,Salt & Pepper noise,Noisy image,No filtering,,"",0.0236290402622923,16.2655391769286,0.024838720043573,0.104314384687428,0.0373513801354191,12.5803970816809,0.0396130971548515,95.11,0.00291666666666667,"Εικόνα μετά την τεχνητή προσθήκη θορύβου."
