IntensityLevel,InputHistogram,InputCDF,GlobalEqualizedHistogram,CLAHE_4x4_clip_0_01_Histogram,CLAHE_8x8_clip_0_01_Histogram,CLAHE_8x8_clip_0_03_Histogram,CLAHE_16x16_clip_0_01_Histogram
0,10438,0.0434916666666667,0,4,15,34,5
1,25486,0.149683333333333,0,72,114,153,63
2,23252,0.246566666666667,0,120,487,135,245
3,18735,0.324629166666667,0,10301,10003,216,10294
4,15695,0.390025,0,235,407,181,267
5,12371,0.441570833333333,0,514,1039,405,752
6,9736,0.4821375,0,2008,3645,935,2475
7,8567,0.517833333333333,0,23220,21231,1978,22793
8,7287,0.548195833333333,0,774,1331,8091,1169
9,6175,0.573925,0,1083,2184,314,2134
10,5758,0.597916666666667,0,21585,20152,466,20554
11,5943,0.622679166666667,10438,437,1278,531,1162
12,6127,0.648208333333333,0,1319,2339,613,2374
13,6605,0.675729166666667,0,3048,4179,1107,3915
14,7007,0.704925,0,14525,12808,1810,13432
15,6934,0.733816666666667,0,1074,2336,2938,1970
16,6748,0.761933333333333,0,2476,3661,5631,3742
17,6322,0.788275,0,12204,9748,14635,5158
18,5837,0.812595833333333,0,964,2341,773,7468
19,5523,0.835608333333333,0,1950,3094,797,2630
20,5054,0.856666666666667,0,3474,3410,869,3763
21,4097,0.8737375,0,7936,6643,1126,7154
22,3504,0.8883375,0,984,2662,2179,2604
23,3292,0.902054166666667,0,2219,3153,2574,3176
24,3409,0.916258333333333,0,6756,5759,3423,4051
25,3041,0.928929166666667,0,1750,2883,7307,5611
26,2702,0.9401875,0,1577,3230,8417,2920
27,2314,0.949829166666667,0,2154,2931,1145,3441
28,2170,0.958870833333333,0,5805,4676,1321,4650
29,1929,0.966908333333333,0,1292,2850,1329,3557
30,1743,0.974170833333333,0,1331,2584,1746,2757
31,1371,0.979883333333333,0,5022,2664,2720,3109
32,971,0.983929166666667,0,1250,3033,2781,3851
33,728,0.9869625,0,1188,2164,3678,2251
34,606,0.9894875,0,1604,2043,7988,2472
35,439,0.991316666666667,0,4169,2515,2037,2572
36,399,0.992979166666667,0,1193,1928,1596,2443
37,312,0.994279166666667,0,1154,1762,1704,1974
38,258,0.995354166666667,25486,1878,1964,1646,2288
39,235,0.996333333333333,0,3382,2129,2056,2448
40,184,0.9971,0,1223,1942,2422,1562
41,124,0.997616666666667,0,1661,1969,2480,1965
42,81,0.997954166666667,0,3598,2101,3483,2012
43,49,0.998158333333333,0,1346,1832,4028,1960
44,33,0.998295833333333,0,1377,2052,2061,1586
45,28,0.9984125,0,2174,2053,1411,1876
46,26,0.998520833333333,0,2649,1917,1455,1825
47,24,0.998620833333333,0,1508,2153,1678,1554
48,21,0.998708333333333,0,2108,2090,1771,1728
49,19,0.9987875,0,3069,1784,2051,1743
50,13,0.998841666666667,0,1376,1899,2353,1672
51,13,0.998895833333333,0,1713,2162,2725,1437
52,8,0.998929166666667,0,2148,1653,1933,1617
53,12,0.998979166666667,0,2401,1506,1435,1466
54,3,0.998991666666667,0,1542,1927,1250,1370
55,14,0.99905,0,1963,1496,1291,1318
56,8,0.999083333333333,0,2302,1331,1923,1363
57,6,0.999108333333333,0,1402,1364,1747,1373
58,9,0.999145833333333,0,1591,1532,1706,1185
59,9,0.999183333333333,0,1788,1065,1798,1215
60,6,0.999208333333333,0,1551,1085,1550,1236
61,7,0.9992375,0,1434,1427,1288,1253
62,11,0.999283333333333,0,1444,1059,1130,1116
63,8,0.999316666666667,23252,1528,908,1341,1172
64,6,0.999341666666667,0,1126,1067,1558,1184
65,6,0.999366666666667,0,1347,1307,1241,1296
66,4,0.999383333333333,0,1442,831,1292,1187
67,4,0.9994,0,1329,903,1346,1191
68,8,0.999433333333333,0,1278,1513,1340,1288
69,5,0.999454166666667,0,1028,962,1389,1063
70,7,0.999483333333333,0,1442,868,1086,1192
71,5,0.999504166666667,0,1065,1123,1160,1157
72,3,0.999516666666667,0,1097,1297,1158,1118
73,0,0.999516666666667,0,1105,830,1140,1062
74,1,0.999520833333333,0,1275,1014,1068,1017
75,6,0.999545833333333,0,1113,1217,1168,1143
76,6,0.999570833333333,0,820,999,1207,967
77,2,0.999579166666667,0,1316,874,1268,1018
78,2,0.9995875,0,1270,998,1277,923
79,2,0.999595833333333,0,843,1061,1026,920
80,3,0.999608333333333,0,901,789,1058,944
81,3,0.999620833333333,0,1237,833,1028,775
82,1,0.999625,0,1101,854,1075,806
83,4,0.999641666666667,18735,620,717,1071,755
84,3,0.999654166666667,0,1032,665,1150,805
85,2,0.9996625,0,1146,834,1172,643
86,0,0.9996625,0,647,775,1155,705
87,2,0.999670833333333,0,690,541,1116,777
88,2,0.999679166666667,0,961,823,976,683
89,1,0.999683333333333,0,776,806,963,601
90,0,0.999683333333333,0,483,596,966,627
91,1,0.9996875,0,704,619,1047,660
92,0,0.9996875,0,985,758,1168,517
93,3,0.9997,0,495,623,1131,441
94,3,0.9997125,0,446,540,1082,528
95,1,0.999716666666667,0,927,708,976,460
96,1,0.999720833333333,0,611,592,946,340
97,0,0.999720833333333,0,480,475,930,388
98,1,0.999725,0,521,516,916,359
99,1,0.999729166666667,15695,844,541,945,298
100,4,0.999745833333333,0,422,424,983,301
101,0,0.999745833333333,0,321,357,1006,306
102,0,0.999745833333333,0,630,414,888,246
103,1,0.99975,0,441,346,824,200
104,2,0.999758333333333,0,286,261,836,212
105,1,0.9997625,0,412,257,821,238
106,0,0.9997625,0,291,258,746,185
107,0,0.9997625,0,347,233,785,171
108,2,0.999770833333333,0,271,199,827,169
109,1,0.999775,0,317,199,865,162
110,1,0.999779166666667,0,247,175,870,125
111,0,0.999779166666667,0,214,181,741,128
112,1,0.999783333333333,0,220,148,748,134
113,1,0.9997875,12371,173,143,772,110
114,0,0.9997875,0,116,155,731,97
115,0,0.9997875,0,149,122,670,99
116,2,0.999795833333333,0,133,120,714,92
117,2,0.999804166666667,0,110,115,782,83
118,0,0.999804166666667,0,104,109,879,86
119,0,0.999804166666667,0,114,104,658,53
120,0,0.999804166666667,0,110,107,720,63
121,0,0.999804166666667,0,100,116,623,60
122,1,0.999808333333333,0,91,79,662,42
123,0,0.999808333333333,9736,81,72,650,42
124,0,0.999808333333333,0,69,90,621,41
125,0,0.999808333333333,0,80,70,651,39
126,2,0.999816666666667,0,62,54,755,23
127,0,0.999816666666667,0,69,65,736,18
128,2,0.999825,0,76,73,550,24
129,0,0.999825,0,61,62,631,22
130,1,0.999829166666667,0,70,44,631,25
131,1,0.999833333333333,0,69,52,600,24
132,0,0.999833333333333,8567,55,49,634,10
133,2,0.999841666666667,0,55,46,552,15
134,0,0.999841666666667,0,42,51,652,8
135,3,0.999854166666667,0,39,49,655,8
136,0,0.999854166666667,0,17,20,647,8
137,0,0.999854166666667,0,14,39,537,9
138,0,0.999854166666667,0,5,61,598,8
