Image,ImageNumber,HighReferenceImage,Method,Parameter,ApproxTileSize,MeanBrightness,IntensityVariance,StdContrast,EntropyValue,DarkPixelPercent,BrightPixelPercent,SaturatedPixelPercent,MichelsonContrast,Comment
1_low.png,1,1_high.png,Original low-light,"",,0.126107222222223,0.0135884520353699,0.11656951589232,5.84843513260013,85.4895833333333,0,0,1,"Αρχική εικόνα χαμηλού φωτισμού πριν από την ισοστάθμιση."
1_low.png,1,1_high.png,Global histogram equalization,"CDF mapping",,0.511259255729166,0.0807742129302197,0.284208045153932,5.7697165279627,23.1033333333333,25.9820833333333,2.01833333333333,0.999333555481506,"Η global ισοστάθμιση αυξάνει την αντίθεση επειδή απλώνει το ιστόγραμμα σε μεγαλύτερο εύρος. Η ισχυρή αύξηση της αντίθεσης μπορεί να κάνει πιο ορατό τον θόρυβο στις σκοτεινές περιοχές."
1_low.png,1,1_high.png,Adaptive histogram equalization,"NumTiles=[4 4], ClipLimit=0.01",about 100x150 pixels,0.261488337069259,0.0254330105234126,0.159477304101281,7.09277644173439,55.40125,0,0,0.994514194033324,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα λιγότερα tiles αντιστοιχούν σε μεγαλύτερα τοπικά παράθυρα και πιο ομαλή μεταβολή."
1_low.png,1,1_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.01",about 50x75 pixels,0.253296223542244,0.0259096382440194,0.160964711176144,7.15855636912804,56.8883333333333,0.09375,0,0.994593150890176,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα."
1_low.png,1,1_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.03",about 50x75 pixels,0.37537034789012,0.036774039706922,0.191765585303834,7.57035903654962,28.5970833333333,3.25666666666667,0.00333333333333333,0.997872340425532,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα."
1_low.png,1,1_high.png,Adaptive histogram equalization,"NumTiles=[16 16], ClipLimit=0.01",about 25x38 pixels,0.2402911796697,0.0231853142052956,0.15226724600286,7.09733108309596,58.4120833333333,0.0541666666666667,0,0.991700160115021,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα περισσότερα tiles αντιστοιχούν σε μικρότερα τοπικά παράθυρα και δίνουν πιο έντονη τοπική προσαρμογή."
22_low.png,22,22_high.png,Original low-light,"",,0.0834067483660137,0.00270953135891937,0.0520531589715684,5.38591733912878,99.9895833333333,0,0,0.999999999999999,"Αρχική εικόνα χαμηλού φωτισμού πριν από την ισοστάθμιση."
22_low.png,22,22_high.png,Global histogram equalization,"CDF mapping",,0.513574649288193,0.0834894179645811,0.288945354634023,5.35038230444249,24.04,27.6141666666667,2.00833333333333,0.975658244051416,"Η global ισοστάθμιση αυξάνει την αντίθεση επειδή απλώνει το ιστόγραμμα σε μεγαλύτερο εύρος. Η ισχυρή αύξηση της αντίθεσης μπορεί να κάνει πιο ορατό τον θόρυβο στις σκοτεινές περιοχές."
22_low.png,22,22_high.png,Adaptive histogram equalization,"NumTiles=[4 4], ClipLimit=0.01",about 100x150 pixels,0.22712249191163,0.0163799575540578,0.127984208221397,6.65993390646825,52.56125,0,0,0.99125550274442,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα λιγότερα tiles αντιστοιχούν σε μεγαλύτερα τοπικά παράθυρα και πιο ομαλή μεταβολή."
22_low.png,22,22_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.01",about 50x75 pixels,0.205898620185249,0.0130873490788834,0.114399952267837,6.62476802441873,61.5108333333333,0,0,0.990219703971721,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα."
22_low.png,22,22_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.03",about 50x75 pixels,0.325022327791436,0.0292655145185246,0.171071664861615,7.38011591160057,36.3545833333333,0.674166666666667,0,0.995250502069075,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα."
22_low.png,22,22_high.png,Adaptive histogram equalization,"NumTiles=[16 16], ClipLimit=0.01",about 25x38 pixels,0.18263663420817,0.00944471186251591,0.0971839074256428,6.51687039103064,73.945,0,0,0.988756828339678,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα περισσότερα tiles αντιστοιχούν σε μικρότερα τοπικά παράθυρα και δίνουν πιο έντονη τοπική προσαρμογή."
23_low.png,23,23_high.png,Original low-light,"",,0.0421882679738565,0.000935010227347388,0.0305779369373964,4.54639268313922,99.9995833333333,0,0,0.999999999999999,"Αρχική εικόνα χαμηλού φωτισμού πριν από την ισοστάθμιση."
23_low.png,23,23_high.png,Global histogram equalization,"CDF mapping",,0.525115924045137,0.0797916571979099,0.282474170850911,4.52413862392823,22.7041666666667,26.8816666666667,2.4075,0.915257821633635,"Η global ισοστάθμιση αυξάνει την αντίθεση επειδή απλώνει το ιστόγραμμα σε μεγαλύτερο εύρος. Η ισχυρή αύξηση της αντίθεσης μπορεί να κάνει πιο ορατό τον θόρυβο στις σκοτεινές περιοχές."
23_low.png,23,23_high.png,Adaptive histogram equalization,"NumTiles=[4 4], ClipLimit=0.01",about 100x150 pixels,0.141677516351907,0.00838929828995792,0.0915931126775257,5.7974308334614,88.5254166666667,0,0,0.987376952959889,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα λιγότερα tiles αντιστοιχούν σε μεγαλύτερα τοπικά παράθυρα και πιο ομαλή μεταβολή."
23_low.png,23,23_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.01",about 50x75 pixels,0.126911820652989,0.00638193388058503,0.0798870069572332,5.78922488154387,94.8004166666667,0,0,0.985252689450859,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα."
23_low.png,23,23_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.03",about 50x75 pixels,0.235157148058056,0.0201728400319019,0.142031123462085,6.61833276180391,56.0433333333333,0.0933333333333333,0,0.994105547201701,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα."
23_low.png,23,23_high.png,Adaptive histogram equalization,"NumTiles=[16 16], ClipLimit=0.01",about 25x38 pixels,0.113813428069185,0.00464408117770613,0.0681474957552083,5.64569506353448,98.095,0,0,0.982304326689353,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα περισσότερα tiles αντιστοιχούν σε μικρότερα τοπικά παράθυρα και δίνουν πιο έντονη τοπική προσαρμογή."
