Image,ImageNumber,HighReferenceImage,Method,Parameter,MeanBrightness,IntensityVariance,StdContrast,MinIntensity,MaxIntensity,DarkPixelPercent,BrightPixelPercent,SaturatedPixelPercent,MichelsonContrast,Comment
1_low.png,1,1_high.png,Original low-light,"",0.0966222409649935,0.00834562401104857,0.0913543869283165,0,0.392940768333529,87.1529166666667,0,0,0.999999999999999,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
1_low.png,1,1_high.png,Linear stretch,"full range [0,1]",0.212402340052356,0.040329533391679,0.200822143678627,0,0.863792206250429,67.9304166666667,0.00541666666666667,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
1_low.png,1,1_high.png,Gamma correction,"gamma = 0.4",0.346528846427876,0.0212340568963596,0.145719102716012,0,0.686671640651241,31.5716666666667,0,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.2499. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
1_low.png,1,1_high.png,Gamma correction,"gamma = 0.6",0.218809343101962,0.017778783745377,0.133337105658466,0,0.569670229551774,66.4645833333333,0,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.1222. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
1_low.png,1,1_high.png,Gamma correction,"gamma = 0.8",0.143194084507284,0.0126498800518843,0.11247168555634,0,0.472954380183896,78.5495833333333,0,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0466. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
1_low.png,1,1_high.png,Gamma correction,"gamma = 1.2",0.0668868104857753,0.00530111792613914,0.0728087764362177,0,0.326691381990326,99.7458333333333,0,0,0.999999999999999,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0297. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
1_low.png,1,1_high.png,Log transform,"log(1+I)/log(2)",0.127992051405837,0.0133299054941095,0.115455209904575,0,0.47710332449925,83.9345833333333,0,0,1,"Ανεβάζει τη μέση φωτεινότητα από 0.0966 σε 0.1280 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
22_low.png,22,22_high.png,Original low-light,"",0.0759661094867342,0.00258203987708173,0.0508137764497162,0,0.298679439924572,99.9983333333333,0,0,0.999999999999999,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
22_low.png,22,22_high.png,Linear stretch,"full range [0,1]",0.248350742552785,0.0275965060827153,0.166121961470226,0,0.976452015138023,47.9066666666667,0.0291666666666667,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
22_low.png,22,22_high.png,Gamma correction,"gamma = 0.4",0.323752938075578,0.0157140446632984,0.125355672641083,0,0.616645659276852,29.9416666666667,0,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.2478. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
22_low.png,22,22_high.png,Gamma correction,"gamma = 0.6",0.19606726833502,0.0095387143621738,0.0976663420128644,0,0.484257990492106,56.9070833333333,0,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.1201. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
22_low.png,22,22_high.png,Gamma correction,"gamma = 0.8",0.121128742907779,0.00512063999767036,0.0715586472599249,0,0.380306162408541,99.1441666666667,0,0,0.999999999999999,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0452. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
22_low.png,22,22_high.png,Gamma correction,"gamma = 1.2",0.0481913111863128,0.00125931968353442,0.0354868945321287,0,0.234580895291497,100,0,0,0.999999999999999,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0278. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
22_low.png,22,22_high.png,Log transform,"log(1+I)/log(2)",0.103995454124975,0.00465731005061859,0.0682444873276852,0,0.377011569910085,99.3254166666667,0,0,0.999999999999999,"Ανεβάζει τη μέση φωτεινότητα από 0.0760 σε 0.1040 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
23_low.png,23,23_high.png,Original low-light,"",0.0376908221657444,0.000858123888289769,0.0292937516936593,0,0.179521834417761,100,0,0,0.999999999999999,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
