IntensityLevel,InputHistogram,InputCDF,GlobalEqualizedHistogram,CLAHE_4x4_clip_0_01_Histogram,CLAHE_8x8_clip_0_01_Histogram,CLAHE_8x8_clip_0_03_Histogram,CLAHE_16x16_clip_0_01_Histogram
0,10659,0.0444125,0,0,0,0,0
1,29695,0.168141666666667,0,0,2,15,5
2,23872,0.267608333333333,0,5,73,87,81
3,14589,0.328395833333333,0,3248,3218,96,1844
4,11788,0.3775125,0,7449,7439,141,8838
5,13155,0.432325,0,87,273,277,377
6,12128,0.482858333333333,0,1147,1820,832,1932
7,10702,0.52745,0,28559,27740,1533,27771
8,9637,0.567604166666667,0,120,423,3335,713
9,10178,0.6100125,0,879,1720,4864,1908
10,9482,0.649520833333333,0,10523,5661,181,5305
11,8058,0.683095833333333,10659,12480,16590,607,17414
12,6648,0.710795833333333,0,264,1202,974,1550
13,5367,0.733158333333333,0,1457,2367,1277,2704
14,5179,0.7547375,0,12993,11338,1906,10470
15,4839,0.7749,0,149,849,2555,1173
16,4155,0.7922125,0,440,1260,4043,1758
17,3506,0.806820833333333,0,3812,3085,19163,2758
18,4116,0.823970833333333,0,7875,7717,578,8131
19,4064,0.840904166666667,0,344,1433,1127,1463
20,4018,0.857645833333333,0,1732,1965,1356,2932
21,3718,0.8731375,0,11188,9749,1730,4076
22,3962,0.889645833333333,0,395,1138,2521,6632
23,3819,0.905558333333333,0,721,1426,3266,2097
24,3185,0.918829166666667,0,3186,2995,3285,3374
25,2706,0.930104166666667,0,8196,7561,4754,7583
26,2520,0.940604166666667,0,487,1352,7137,1633
27,2741,0.952025,0,1034,1468,1092,2493
28,2788,0.963641666666667,0,8902,7841,1099,3723
29,2762,0.97515,0,458,1021,1019,5890
30,2297,0.984720833333333,0,683,1602,1397,2201
31,1643,0.991566666666667,0,1394,1935,2241,3158
32,1049,0.9959375,0,7672,6406,2193,4687
33,539,0.998183333333333,0,581,1845,1978,4116
34,240,0.999183333333333,0,1027,1736,2759,2778
35,117,0.999670833333333,0,8426,3000,2769,3675
36,59,0.999916666666667,0,466,4705,809,5456
37,14,0.999975,0,699,1742,939,2607
38,5,0.999995833333333,0,1394,1842,1334,3017
39,0,0.999995833333333,0,6920,5188,1746,3927
40,0,0.999995833333333,0,622,1488,1668,4368
41,1,1,0,796,1774,1801,2719
42,0,1,0,6332,2477,1970,3000
43,0,1,29695,486,3420,3712,4375
44,0,1,0,889,1477,1246,2537
45,0,1,0,1364,2307,1188,2474
46,0,1,0,4168,3370,1270,2724
47,0,1,0,770,1231,1213,3315
48,0,1,0,1044,2042,1326,2228
49,0,1,0,3019,1954,1728,2323
50,0,1,0,1248,2470,2097,2616
51,0,1,0,908,1710,2187,2164
52,0,1,0,1190,1934,3666,1924
53,0,1,0,2769,2916,1124,2069
54,0,1,0,679,1805,1060,2215
55,0,1,0,856,2020,1143,1696
56,0,1,0,2667,2004,1085,1615
57,0,1,0,1212,2521,1487,1768
58,0,1,0,823,1918,1821,1482
59,0,1,0,1600,1840,1959,1385
60,0,1,0,2222,2247,2555,1383
61,0,1,0,842,1851,2657,1212
62,0,1,0,1161,1758,999,1075
63,0,1,0,2479,1656,1123,1045
64,0,1,0,873,1681,1259,1046
65,0,1,0,820,1605,1269,887
66,0,1,0,2139,1364,1598,824
67,0,1,0,1827,1281,1789,814
68,0,1,23872,729,1413,1952,747
69,0,1,0,1798,1247,3159,736
70,0,1,0,1967,1045,1057,628
71,0,1,0,891,1094,1153,562
72,0,1,0,1305,1076,1312,529
73,0,1,0,1324,941,1318,470
74,0,1,0,1587,887,1501,411
75,0,1,0,982,913,1579,364
76,0,1,0,1129,886,1843,369
77,0,1,0,1466,689,1879,333
78,0,1,0,901,862,2413,296
79,0,1,0,998,709,1128,249
80,0,1,0,1180,613,1282,226
81,0,1,0,1036,616,1265,224
82,0,1,0,1016,812,1316,201
83,0,1,0,854,538,1571,183
84,0,1,14589,882,560,1545,199
85,0,1,0,1085,680,1682,187
86,0,1,0,771,470,1672,167
87,0,1,0,1011,438,2067,181
88,0,1,0,826,432,1375,180
89,0,1,0,757,473,1273,194
90,0,1,0,1210,364,1309,179
91,0,1,0,631,327,1381,158
92,0,1,0,857,361,1581,195
93,0,1,0,1010,231,1520,197
94,0,1,0,624,246,1567,178
95,0,1,0,976,278,2651,153
96,0,1,11788,595,251,1194,184
97,0,1,0,657,261,1229,187
98,0,1,0,712,275,1294,146
99,0,1,0,652,230,1293,129
100,0,1,0,622,201,1356,134
101,0,1,0,616,242,1327,148
102,0,1,0,610,264,1311,97
103,0,1,0,478,231,1362,100
104,0,1,0,460,243,1983,95
105,0,1,0,398,236,1290,89
106,0,1,0,338,190,1188,78
107,0,1,0,251,186,1100,60
108,0,1,0,147,145,1011,53
109,0,1,0,146,149,1279,43
110,0,1,13155,123,148,1180,39
111,0,1,0,62,109,1289,36
112,0,1,0,37,96,1677,27
113,0,1,0,39,114,1127,24
114,0,1,0,40,101,1108,22
115,0,1,0,13,64,1069,22
116,0,1,0,4,46,1032,19
117,0,1,0,0,44,1188,11
118,0,1,0,0,43,1442,7
119,0,1,0,0,21,1037,8
120,0,1,0,0,36,978,3
121,0,1,0,0,13,964,3
122,0,1,0,0,8,980,1
123,0,1,12128,0,4,986,3
124,0,1,0,0,0,921,1
125,0,1,0,0,0,868,2
126,0,1,0,0,0,897,0
127,0,1,0,0,0,865,0
128,0,1,0,0,0,816,0
129,0,1,0,0,0,862,0
130,0,1,0,0,0,781,0
131,0,1,0,0,0,844,0
132,0,1,0,0,0,726,0
133,0,1,0,0,0,678,0
134,0,1,10702,0,0,665,0
135,0,1,0,0,0,628,0
136,0,1,0,0,0,586,0
137,0,1,0,0,0,554,0
138,0,1,0,0,0,548,0
139,0,1,0,0,0,575,0
140,0,1,0,0,0,501,0
141,0,1,0,0,0,453,0
142,0,1,0,0,0,412,0
143,0,1,0,0,0,339,0
144,0,1,0,0,0,368,0
145,0,1,9637,0,0,336,0
146,0,1,0,0,0,419,0
147,0,1,0,0,0,412,0
148,0,1,0,0,0,351,0
149,0,1,0,0,0,297,0
150,0,1,0,0,0,284,0
151,0,1,0,0,0,228,0
152,0,1,0,0,0,257,0
153,0,1,0,0,0,246,0
154,0,1,0,0,0,282,0
155,0,1,0,0,0,369,0
156,0,1,10178,0,0,341,0
157,0,1,0,0,0,236,0
158,0,1,0,0,0,206,0
159,0,1,0,0,0,228,0
160,0,1,0,0,0,193,0
161,0,1,0,0,0,210,0
162,0,1,0,0,0,233,0
163,0,1,0,0,0,298,0
164,0,1,0,0,0,215,0
165,0,1,0,0,0,187,0
166,0,1,9482,0,0,168,0
167,0,1,0,0,0,173,0
168,0,1,0,0,0,153,0
169,0,1,0,0,0,183,0
170,0,1,0,0,0,157,0
171,0,1,0,0,0,166,0
172,0,1,0,0,0,160,0
173,0,1,0,0,0,127,0
174,0,1,8058,0,0,136,0
175,0,1,0,0,0,123,0
176,0,1,0,0,0,99,0
177,0,1,0,0,0,109,0
178,0,1,0,0,0,102,0
179,0,1,0,0,0,126,0
180,0,1,0,0,0,102,0
181,0,1,6648,0,0,80,0
182,0,1,0,0,0,91,0
183,0,1,0,0,0,79,0
184,0,1,0,0,0,132,0
185,0,1,0,0,0,129,0
186,0,1,0,0,0,65,0
187,0,1,5367,0,0,57,0
188,0,1,0,0,0,58,0
189,0,1,0,0,0,53,0
190,0,1,0,0,0,79,0
191,0,1,0,0,0,84,0
192,0,1,5179,0,0,99,0
193,0,1,0,0,0,48,0
194,0,1,0,0,0,37,0
195,0,1,0,0,0,42,0
196,0,1,0,0,0,56,0
197,0,1,0,0,0,64,0
198,0,1,4839,0,0,55,0
199,0,1,0,0,0,51,0
200,0,1,0,0,0,59,0
201,0,1,0,0,0,35,0
202,0,1,4155,0,0,15,0
203,0,1,0,0,0,18,0
204,0,1,0,0,0,19,0
205,0,1,0,0,0,16,0
206,0,1,3506,0,0,20,0
207,0,1,0,0,0,8,0
208,0,1,0,0,0,8,0
209,0,1,0,0,0,4,0
210,0,1,4116,0,0,0,0
211,0,1,0,0,0,0,0
212,0,1,0,0,0,0,0
213,0,1,0,0,0,0,0
214,0,1,4064,0,0,0,0
215,0,1,0,0,0,0,0
216,0,1,0,0,0,0,0
217,0,1,0,0,0,0,0
218,0,1,0,0,0,0,0
219,0,1,4018,0,0,0,0
220,0,1,0,0,0,0,0
221,0,1,0,0,0,0,0
222,0,1,0,0,0,0,0
223,0,1,3718,0,0,0,0
224,0,1,0,0,0,0,0
225,0,1,0,0,0,0,0
226,0,1,0,0,0,0,0
227,0,1,3962,0,0,0,0
228,0,1,0,0,0,0,0
229,0,1,0,0,0,0,0
230,0,1,0,0,0,0,0
231,0,1,3819,0,0,0,0
232,0,1,0,0,0,0,0
233,0,1,0,0,0,0,0
234,0,1,3185,0,0,0,0
235,0,1,0,0,0,0,0
236,0,1,0,0,0,0,0
237,0,1,2706,0,0,0,0
238,0,1,0,0,0,0,0
239,0,1,0,0,0,0,0
240,0,1,2520,0,0,0,0
241,0,1,0,0,0,0,0
242,0,1,0,0,0,0,0
243,0,1,2741,0,0,0,0
244,0,1,0,0,0,0,0
245,0,1,0,0,0,0,0
246,0,1,2788,0,0,0,0
247,0,1,0,0,0,0,0
248,0,1,0,0,0,0,0
249,0,1,2762,0,0,0,0
250,0,1,0,0,0,0,0
251,0,1,2297,0,0,0,0
252,0,1,0,0,0,0,0
253,0,1,1643,0,0,0,0
254,0,1,1049,0,0,0,0
255,0,1,975,0,0,0,0
