Image,ImageNumber,HighReferenceImage,Method,Parameter,MeanBrightness,StdContrast,GradientMean,GradientRatioToBase,LaplacianEnergy,DarkPixelPercent,SaturatedPixelPercent,MSEToHigh,PSNRToHigh,Comment
1_low.png,1,1_high.png,Original low-light,,0.0966222409649935,0.0913545772505507,0.00704370474568958,0.442925175113094,0.0192394672401854,87.1529166666667,0,0.189699939724038,7.21932807105654,"Αρχική εικόνα χαμηλού φωτισμού πριν από βελτίωση, αποθορυβοποίηση και όξυνση."
1_low.png,1,1_high.png,Base enhanced denoised,gamma 0.6 + contrast stretch + Gaussian denoise,0.351006514678164,0.211435877252606,0.0159026967566045,0.999999999999986,0.017953826880191,46.9795833333333,0,0.0258985564535978,15.8672444216232,"Βασική βελτιωμένη και αποθορυβοποιημένη εικόνα που χρησιμοποιείται ως είσοδος για την όξυνση."
1_low.png,1,1_high.png,Laplacian sharpening,3x3 Laplacian mask,0.351026672865007,0.213741114835152,0.0207269193144816,1.30335877189341,0.0322123394096172,46.84,0,0.0255150834954599,15.9320300614585,"Laplacian sharpening αυξάνει την ένταση των ακμών και αναδεικνύει λεπτομέρειες. Η υπερενίσχυση παραμένει σχετικά περιορισμένη."
1_low.png,1,1_high.png,Unsharp masking,k = 0.5,0.351009995835986,0.212531484426118,0.0180535162480675,1.13524872695378,0.0233032057522767,46.9470833333333,0,0.0256615888002378,15.9071645841256,"Το k=0.5 δίνει ήπια όξυνση και συνήθως πιο φυσικό αποτέλεσμα. Ο λόγος gradient προς τη βάση είναι 1.135. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
1_low.png,1,1_high.png,Unsharp masking,k = 1.0,0.351024601762356,0.213754487590838,0.0203741246148043,1.28117418866976,0.0287989439864057,46.8520833333333,0,0.0255017285631862,15.9343038113426,"Το k=1.0 δίνει πιο καθαρή ανάδειξη λεπτομερειών. Ο λόγος gradient προς τη βάση είναι 1.281. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
1_low.png,1,1_high.png,Unsharp masking,k = 1.5,0.351060605983442,0.215086672343383,0.0228111554496629,1.43442057650938,0.0343592698156874,46.76,0,0.025414631009897,15.9491619135293,"Το k=1.5 δίνει έντονη όξυνση και χρειάζεται προσοχή. Ο λόγος gradient προς τη βάση είναι 1.434. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
22_low.png,22,22_high.png,Original low-light,,0.0759661094867342,0.0508138823120813,0.00482896724796257,0.334249296520716,0.0173845572076057,99.9983333333333,0,0.245068791298219,6.1071199119569,"Αρχική εικόνα χαμηλού φωτισμού πριν από βελτίωση, αποθορυβοποίηση και όξυνση."
22_low.png,22,22_high.png,Base enhanced denoised,gamma 0.6 + contrast stretch + Gaussian denoise,0.399091469395086,0.196292241990344,0.0144472024271357,0.999999999999985,0.0176769124018981,29.455,0,0.0211504894477013,16.7467957807729,"Βασική βελτιωμένη και αποθορυβοποιημένη εικόνα που χρησιμοποιείται ως είσοδος για την όξυνση."
22_low.png,22,22_high.png,Laplacian sharpening,3x3 Laplacian mask,0.399140974210871,0.198129808270412,0.0192378713602737,1.33159838088373,0.0340515612477789,29.5216666666667,0.000416666666666667,0.0210971230622471,16.7577676381973,"Laplacian sharpening αυξάνει την ένταση των ακμών και αναδεικνύει λεπτομέρειες. Η υπερενίσχυση παραμένει σχετικά περιορισμένη."
22_low.png,22,22_high.png,Unsharp masking,k = 0.5,0.399100834356645,0.197151689617298,0.0165047649332249,1.14241944185847,0.0234212031178909,29.4666666666667,0,0.0210736731621268,16.7625975983522,"Το k=0.5 δίνει ήπια όξυνση και συνήθως πιο φυσικό αποτέλεσμα. Ο λόγος gradient προς τη βάση είναι 1.142. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
22_low.png,22,22_high.png,Unsharp masking,k = 1.0,0.39913343730714,0.198086400758298,0.0187094014531061,1.29501898706455,0.0292820923737735,29.5079166666667,0.000416666666666667,0.0210556935695333,16.7663044845126,"Το k=1.0 δίνει πιο καθαρή ανάδειξη λεπτομερειών. Ο λόγος gradient προς τη βάση είναι 1.295. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
22_low.png,22,22_high.png,Unsharp masking,k = 1.5,0.399198467069483,0.199076098458734,0.0210031516938728,1.4537867659709,0.0351754948174727,29.56625,0.000833333333333333,0.021092474165472,16.758724741539,"Το k=1.5 δίνει έντονη όξυνση και χρειάζεται προσοχή. Ο λόγος gradient προς τη βάση είναι 1.454. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
23_low.png,23,23_high.png,Original low-light,,0.0376908221657444,0.0292938127224994,0.00337447948561743,0.249183457260072,0.0148376294306805,100,0,0.343047592464437,4.64645624240438,"Αρχική εικόνα χαμηλού φωτισμού πριν από βελτίωση, αποθορυβοποίηση και όξυνση."
23_low.png,23,23_high.png,Base enhanced denoised,gamma 0.6 + contrast stretch + Gaussian denoise,0.274378875085337,0.161670518907938,0.013542148915991,0.999999999999984,0.0189304107097451,44.5029166666667,0,0.107084386090256,9.70273848768404,"Βασική βελτιωμένη και αποθορυβοποιημένη εικόνα που χρησιμοποιείται ως είσοδος για την όξυνση."
23_low.png,23,23_high.png,Laplacian sharpening,3x3 Laplacian mask,0.274521846904785,0.163344595815972,0.0189510517232748,1.3994124448666,0.0382989184725644,44.6895833333333,0,0.107059060595796,9.70376571711525,"Laplacian sharpening αυξάνει την ένταση των ακμών και αναδεικνύει λεπτομέρειες. Η υπερενίσχυση παραμένει σχετικά περιορισμένη."
23_low.png,23,23_high.png,Unsharp masking,k = 0.5,0.274409168562888,0.162441805954952,0.015816196883533,1.16792371592196,0.0254975171517608,44.6379166666667,0,0.107017512187733,9.70545149191496,"Το k=0.5 δίνει ήπια όξυνση και συνήθως πιο φυσικό αποτέλεσμα. Ο λόγος gradient προς τη βάση είναι 1.168. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
23_low.png,23,23_high.png,Unsharp masking,k = 1.0,0.27448882019811,0.163261946194198,0.0181942589990885,1.34352820309071,0.0321440072558917,44.6866666666667,0,0.106989923121314,9.70657124547452,"Το k=1.0 δίνει πιο καθαρή ανάδειξη λεπτομερειών. Ο λόγος gradient προς τη βάση είναι 1.344. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
23_low.png,23,23_high.png,Unsharp masking,k = 1.5,0.274636825118586,0.164100193518004,0.0206113816322282,1.5220170565315,0.0387763838634948,44.7141666666667,0,0.106986905651717,9.70669373260575,"Το k=1.5 δίνει έντονη όξυνση και χρειάζεται προσοχή. Ο λόγος gradient προς τη βάση είναι 1.522. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
55_low.png,55,55_high.png,Original low-light,,0.038170383408303,0.0318249731461922,0.00340232544131246,0.222860819176023,0.0143452851340737,100,0,0.353085084945962,4.52120627558615,"Αρχική εικόνα χαμηλού φωτισμού πριν από βελτίωση, αποθορυβοποίηση και όξυνση."
55_low.png,55,55_high.png,Base enhanced denoised,gamma 0.6 + contrast stretch + Gaussian denoise,0.283865819396703,0.175642084957072,0.0152665930866257,0.999999999999985,0.0193612488290141,43.4416666666667,0,0.108304756073853,9.65352471433068,"Βασική βελτιωμένη και αποθορυβοποιημένη εικόνα που χρησιμοποιείται ως είσοδος για την όξυνση."
55_low.png,55,55_high.png,Laplacian sharpening,3x3 Laplacian mask,0.284065526211285,0.177565767485779,0.0203113505129799,1.33044421880698,0.0385938211159466,43.40625,0,0.108195773340031,9.65789704580234,"Laplacian sharpening αυξάνει την ένταση των ακμών και αναδεικνύει λεπτομέρειες. Η υπερενίσχυση παραμένει σχετικά περιορισμένη."
