Image,ImageNumber,HighReferenceImage,Pipeline,Parameter,EdgeDetector,EdgeCount,EdgeDensity,ComponentCount,SmallComponentPercent,SignificantComponentPercent,JaccardToHigh,EdgeCountRatioToOriginal,Comment
1_low.png,1,1_high.png,Original low-light,"",Sobel,7533,3.13875,421,52.9691211401425,14.0142517814727,0.589338692697866,1,"Original low-light: Το πλήθος ακμών μένει κοντά στην αρχική low-light εικόνα. Υπάρχουν αρκετά μικρά components, άρα χρειάζεται προσοχή στην ερμηνεία. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.589)."
1_low.png,1,1_high.png,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",Sobel,8879,3.69958333333333,622,62.8617363344052,10.9324758842444,0.714381207028266,1.17868047258728,"Pipeline 1 - Gamma + stretch: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.714)."
1_low.png,1,1_high.png,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",Sobel,7544,3.14333333333333,429,53.8461538461538,16.3170163170163,0.400826097951614,1.00146024160361,"Pipeline 2 - Median + CLAHE + unsharp: Το πλήθος ακμών μένει κοντά στην αρχική low-light εικόνα. Υπάρχουν αρκετά μικρά components, άρα χρειάζεται προσοχή στην ερμηνεία. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.401)."
1_low.png,1,1_high.png,Pipeline 3 - Retinex sigma 15,"sigma=15",Sobel,10843,4.51791666666667,1444,73.8227146814404,5.74792243767313,0.425595877174146,1.43939997345015,"Pipeline 3 - Retinex sigma 15: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.426)."
1_low.png,1,1_high.png,Pipeline 3 - Retinex sigma 30,"sigma=30",Sobel,10846,4.51916666666667,1464,74.1803278688525,5.87431693989071,0.424281424281424,1.43979822116023,"Pipeline 3 - Retinex sigma 30: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.424)."
1_low.png,1,1_high.png,Pipeline 3 - Retinex sigma 60,"sigma=60",Sobel,10841,4.51708333333333,1438,73.7134909596662,6.11961057023644,0.428622668579627,1.43913447497677,"Pipeline 3 - Retinex sigma 60: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Τα πολλά μικρά components δείχνουν θορυβώδες edge map. Οι σημαντικές συνεχόμενες ακμές παραμένουν περιορισμένες. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.429)."
1_low.png,1,1_high.png,Original low-light,"",Canny,19497,8.12375,271,15.1291512915129,57.1955719557196,0.552896635473962,1,"Original low-light: Το πλήθος ακμών μένει κοντά στην αρχική low-light εικόνα. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.553)."
1_low.png,1,1_high.png,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",Canny,24015,10.00625,410,15.3658536585366,50.7317073170732,0.638703950288504,1.23172795814741,"Pipeline 1 - Gamma + stretch: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.639)."
1_low.png,1,1_high.png,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",Canny,22233,9.26375,393,14.7582697201018,51.3994910941476,0.516406352539703,1.14032928142791,"Pipeline 2 - Median + CLAHE + unsharp: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.516)."
1_low.png,1,1_high.png,Pipeline 3 - Retinex sigma 15,"sigma=15",Canny,26645,11.1020833333333,596,18.7919463087248,41.9463087248322,0.45644418872267,1.36662050571883,"Pipeline 3 - Retinex sigma 15: Το πλήθος ακμών αυξάνεται ήπια και δείχνει καλύτερη ανάδειξη δομών. Το edge map έχει λιγότερα μικρά θραύσματα και φαίνεται πιο καθαρό. Οι μεγαλύτερες συνδεδεμένες ακμές βοηθούν στην ορατότητα σημαντικών αντικειμένων. Η συμφωνία με τις ακμές της φωτεινής αναφοράς είναι σχετικά καλή (Jaccard 0.456)."
